,Name,W,L,Dif
3,Bayern Munich,386,83,303
7,Dortmund,291,137,154
30,Schalke 04,274,167,107
22,Leverkusen,276,170,106
34,Werder Bremen,251,196,55
33,VfB Stuttgart,219,190,29
29,RB Leipzig,20,7,13
35,Wolfsburg,223,215,8
14,Hamburger SV,213,217,-4
17,Hertha Berlin,192,197,-5
32,Unterhaching,8,15,-7
0,Alemannia Aachen,9,18,-9
18,Hoffenheim,103,113,-10
28,Paderborn,7,17,-10
11,Fortuna Dusseldorf,7,18,-11
26,Munich 1860,47,59,-12
19,Ingolstadt,18,32,-14
21,Karlsruher SC,19,34,-15
5,Braunschweig,6,21,-15
13,Greuther Furth,4,21,-17
2,Augsburg,64,84,-20
24,Mainz 05,127,147,-20
6,Darmstadt 98,16,37,-21
23,MSV Duisburg,13,38,-25
25,Monchengladbach,175,202,-27
31,St Pauli,12,41,-29
20,Kaiserslautern,90,123,-33
1,Arminia Bielefeld,52,91,-39
16,Hansa Rostock,59,100,-41
4,Bochum,79,121,-42
15,Hannover 96,157,204,-47
9,Energie Cottbus,56,105,-49
12,Freiburg,111,167,-56
8,Eintracht Frankfurt,132,196,-64
27,Nurnberg,107,173,-66
10,FC Koln,104,171,-67
